Dia,Hora de início,Impressões
Domingo,00,0
Domingo,01,0
Domingo,02,0
Domingo,03,0
Domingo,04,0
Domingo,05,0
Domingo,06,0
Domingo,07,0
Domingo,08,0
Domingo,09,0
Domingo,10,0
Domingo,11,0
Domingo,12,0
Domingo,13,0
Domingo,14,0
Domingo,15,0
Domingo,16,0
Domingo,17,0
Domingo,18,0
Domingo,19,0
Domingo,20,0
Domingo,21,0
Domingo,22,0
Domingo,23,0
Segunda-feira,00,0
Segunda-feira,01,0
Segunda-feira,02,0
Segunda-feira,03,0
Segunda-feira,04,0
Segunda-feira,05,0
Segunda-feira,06,0
Segunda-feira,07,0
Segunda-feira,08,13
Segunda-feira,09,37
Segunda-feira,10,6
Segunda-feira,11,31
Segunda-feira,12,17
Segunda-feira,13,9
Segunda-feira,14,22
Segunda-feira,15,30
Segunda-feira,16,30
Segunda-feira,17,24
Segunda-feira,18,0
Segunda-feira,19,0
Segunda-feira,20,0
Segunda-feira,21,0
Segunda-feira,22,0
Segunda-feira,23,0
Terça-feira,00,0
Terça-feira,01,0
Terça-feira,02,0
Terça-feira,03,0
Terça-feira,04,0
Terça-feira,05,0
Terça-feira,06,0
Terça-feira,07,0
Terça-feira,08,27
Terça-feira,09,26
Terça-feira,10,24
Terça-feira,11,9
Terça-feira,12,4
Terça-feira,13,12
Terça-feira,14,20
Terça-feira,15,7
Terça-feira,16,0
Terça-feira,17,0
Terça-feira,18,0
Terça-feira,19,1
Terça-feira,20,1
Terça-feira,21,0
Terça-feira,22,0
Terça-feira,23,3
Quarta-feira,00,0
Quarta-feira,01,0
Quarta-feira,02,0
Quarta-feira,03,0
Quarta-feira,04,0
Quarta-feira,05,0
Quarta-feira,06,0
Quarta-feira,07,0
Quarta-feira,08,12
Quarta-feira,09,8
Quarta-feira,10,8
Quarta-feira,11,15
Quarta-feira,12,6
Quarta-feira,13,11
Quarta-feira,14,9
Quarta-feira,15,15
Quarta-feira,16,9
Quarta-feira,17,14
Quarta-feira,18,4
Quarta-feira,19,14
Quarta-feira,20,2
Quarta-feira,21,6
Quarta-feira,22,9
Quarta-feira,23,7
Quinta-feira,00,0
Quinta-feira,01,0
Quinta-feira,02,0
Quinta-feira,03,0
Quinta-feira,04,0
Quinta-feira,05,0
Quinta-feira,06,0
Quinta-feira,07,0
Quinta-feira,08,25
Quinta-feira,09,23
Quinta-feira,10,18
Quinta-feira,11,17
Quinta-feira,12,13
Quinta-feira,13,17
Quinta-feira,14,7
Quinta-feira,15,9
Quinta-feira,16,6
Quinta-feira,17,6
Quinta-feira,18,0
Quinta-feira,19,0
Quinta-feira,20,2
Quinta-feira,21,17
Quinta-feira,22,19
Quinta-feira,23,8
Sexta-feira,00,0
Sexta-feira,01,0
Sexta-feira,02,0
Sexta-feira,03,0
Sexta-feira,04,0
Sexta-feira,05,0
Sexta-feira,06,0
Sexta-feira,07,0
Sexta-feira,08,24
Sexta-feira,09,12
Sexta-feira,10,12
Sexta-feira,11,13
Sexta-feira,12,18
Sexta-feira,13,15
Sexta-feira,14,24
Sexta-feira,15,16
Sexta-feira,16,33
Sexta-feira,17,24
Sexta-feira,18,15
Sexta-feira,19,1
Sexta-feira,20,1
Sexta-feira,21,2
Sexta-feira,22,2
Sexta-feira,23,0
Sábado,00,0
Sábado,01,0
Sábado,02,0
Sábado,03,0
Sábado,04,0
Sábado,05,0
Sábado,06,0
Sábado,07,0
Sábado,08,4
Sábado,09,1
Sábado,10,0
Sábado,11,9
Sábado,12,12
Sábado,13,10
Sábado,14,16
Sábado,15,11
Sábado,16,8
Sábado,17,25
Sábado,18,0
Sábado,19,0
Sábado,20,0
Sábado,21,0
Sábado,22,0
Sábado,23,0
