Palavra-chave da rede de pesquisa,Tipo de corresp.,Status do critério,Status da campanha,Status do grupo de anúncios,Custo,Impressões,CTR
veneno para barata,Corresp. de frase,Pausado,Ativado,Ativado,"R$ 84,13",329,"6,38%"
matar baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 59,74",209,"6,22%"
matar escorpião,Corresp. de frase,Pausado,Ativado,Ativado,"R$ 39,85",95,"9,47%"
infestação de baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 38,81",122,"8,20%"
dedetização brasília,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 23,14",9,"22,22%"
baratas pequenas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 19,65",77,"6,49%"
veneno para matar barata francesinha,Corresp. de frase,Pausado,Ativado,Ativado,"R$ 16,49",38,"13,16%"
barata francesinha como eliminar,Corresp. de frase,Pausado,Ativado,Ativado,"R$ 7,16",3,"33,33%"
infestação de baratas pequenas,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 6,67",60,"3,33%"
veneno para barata francesinha,Corresp. de frase,Pausado,Ativado,Ativado,"R$ 4,21",4,"25,00%"
dedetização contra escorpião,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",1,"0,00%"
dedetização escorpião,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização escorpião,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",2,"0,00%"
escorpião dedetização,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização escorpião df,Corresp. exata,Pausado,Ativado,Ativado,"R$ 0,00",1,"0,00%"
escorpião em casa,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",1,"0,00%"
dedetização de baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização de baratas,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora de baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
barata francesinha,Corresp. de frase,Pausado,Ativado,Ativado,"R$ 0,00",25,"0,00%"
dedetização baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
barata francesa,Corresp. de frase,Pausado,Ativado,Ativado,"R$ 0,00",1,"0,00%"
baratinha francesa,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
valor de dedetização de baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização cozinha,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
barata pequena apartamento,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora em brasília,Corresp. exata,Removido,Pausado,Ativado,"R$ 0,00",5,"0,00%"
dedetizadora cruzeiro,Corresp. de frase,Ativado,Pausado,Ativado,"R$ 0,00",3,"0,00%"
dedetizadora em taguatinga,Correspondência ampla,Ativado,Pausado,Ativado,"R$ 0,00",8,"0,00%"
dedetizadora sobradinho,Corresp. de frase,Ativado,Pausado,Ativado,"R$ 0,00",2,"0,00%"
dedetizadora samambaia,Corresp. de frase,Ativado,Pausado,Ativado,"R$ 0,00",2,"0,00%"
