Palavra-chave de pesquisa
5 de maio de 2026 - 15 de maio de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
matar baratas,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",10,140,"7,14%","3,99","39,89","35,07%","55,22%","1,00",0,"39,89","10,00%"
veneno para barata,Limitado,baixa qualidade,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",9,173,"5,20%","3,27","29,39","34,30%","52,91%","5,00",0,"5,88","55,56%"
infestação de baratas,Limitado,baixa qualidade,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",7,68,"10,29%","3,26","22,83","16,18%","42,65%","5,00",0,"4,57","71,43%"
veneno para matar barata francesinha,Limitado,baixa qualidade,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",4,23,"17,39%","3,38","13,50","52,17%","91,30%","1,00",0,"13,50","25,00%"
baratas pequenas,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",3,42,"7,14%","3,50","10,51","9,76%","43,90%","1,00",0,"10,51","33,33%"
dedetização de baratas,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0
dedetização de baratas,Qualificado,,Correspondência exata,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0
dedetizadora de baratas,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0
barata francesinha,Limitado,baixa qualidade,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,9,"0,00%",0,"0,00","25,00%","75,00%","0,00",0,0,0
infestação de baratas pequenas,Qualificado,,Correspondência ampla,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,28,"0,00%",0,"0,00","11,11%","37,04%","0,00",0,0,0
veneno para barata francesinha,Limitado,baixa qualidade,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,2,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0
dedetização baratas,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0
barata francesinha como eliminar,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,2,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0
barata francesa,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0
baratinha francesa,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0
dedetização cozinha,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0
barata pequena apartamento,Qualificado,,Correspondência de frase,[SEARCH][06.05.26]-BARATAS,G1-BARATAS,BRL,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0
