Palavra-chave da rede de pesquisa,Tipo de corresp.,Status do critério,Status da campanha,Status do grupo de anúncios,Custo,Impressões,CTR
matar baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 39,89",140,"7,14%"
veneno para barata,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 29,39",173,"5,20%"
infestação de baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 22,83",68,"10,29%"
veneno para matar barata francesinha,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 13,50",23,"17,39%"
baratas pequenas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 10,51",42,"7,14%"
matar escorpião,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 2,87",27,"3,70%"
dedetização contra escorpião,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",1,"0,00%"
dedetização escorpião,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização escorpião,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
escorpião dedetização,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização escorpião df,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
escorpião em casa,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",1,"0,00%"
dedetização de baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização de baratas,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora de baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
barata francesinha,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",9,"0,00%"
infestação de baratas pequenas,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",28,"0,00%"
veneno para barata francesinha,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",2,"0,00%"
dedetização baratas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
barata francesinha como eliminar,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",2,"0,00%"
barata francesa,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",1,"0,00%"
baratinha francesa,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização cozinha,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
barata pequena apartamento,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora em taguatinga,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização taguatinga,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora em brasília,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização brasília,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora no df,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora taguatinga,Corresp. exata,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora em brasília,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora cruzeiro,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",2,"0,00%"
dedetizadora lago norte,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora planaltina,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora vicente pires,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora sobradinho,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora gama,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora samambaia,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora em taguatinga,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora santa maria,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetização em taguatinga,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora recanto das emas,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
dedetizadora águas claras,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
controle de pragas taguatinga,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
